Index,Name,Detector,Order,EtaMin1,EtaMax1,EtaMin2,EtaMax2,minTransverse,maxTransverse,ResCalcType,MomConsWeight,ResCoreMate1,ResCorMate2,
int,string,enum,int,double,double,double,double,double,double,string,string,enum,enum,
23,trackm110mc,Tracker,1,-1.20,-0.80,0.00,0.00,0.30,3.00,3sub,yes,trackp1mc,trackp122mc,
24,trackm106mc,Tracker,1,-0.80,-0.40,0.00,0.00,0.30,3.00,3sub,yes,trackp110mc,trackp122mc,
25,trackm102mc,Tracker,1,-0.40,0.00,0.00,0.00,0.30,3.00,3sub,yes,trackp110mc,trackp122mc,
26,trackp102mc,Tracker,1,0.00,0.40,0.00,0.00,0.30,3.00,3sub,yes,trackm110mc,trackm122mc,
27,trackp106mc,Tracker,1,0.40,0.80,0.00,0.00,0.30,3.00,3sub,yes,trackm110mc,trackm122mc,
28,trackp110mc,Tracker,1,0.80,1.20,0.00,0.00,0.30,3.00,3sub,yes,trackm1mc,trackm122mc,
29,trackp114mc,Tracker,1,1.20,1.60,0.00,0.00,0.30,3.00,3sub,yes,trackm1mc,trackm122mc,
30,trackp118mc,Tracker,1,1.60,2.00,0.00,0.00,0.30,3.00,3sub,yes,trackm1mc,trackm122mc,
31,trackp122mc,Tracker,1,2.00,2.40,0.00,0.00,0.30,3.00,3sub,yes,trackm1mc,trackm122mc,
32,HFm1a,HF,1,-2.5,-2,0,0,0.005,30.0,3sub,no,HFp1,trackp1,
33,HFm1b,HF,1,-3.0,-2.5,0,0,0.005,30.0,3sub,no,HFp1,trackp1,
34,HFm1c,HF,1,-3.5,-3.0,0,0,0.005,30.0,3sub,no,HFp1,trackp1,
35,HFm1d,HF,1,-4.0,-3.5,0,0,0.005,30.0,3sub,no,HFp1,trackp1,
36,HFm1e,HF,1,-4.5,-4.0,0,0,0.005,30.0,3sub,no,HFp1,trackp1,
37,HFm1f,HF,1,-5.0,-4.5,0,0,0.005,30.0,3sub,no,HFp1,trackp1,
38,HFp1a,HF,1,2.0,2.5,0,0,0.005,30.0,3sub,no,HFm1,trackm1,
39,HFp1b,HF,1,2.5,3.0,0,0,0.005,30.0,3sub,no,HFm1,trackm1,
40,HFp1c,HF,1,3.0,3.5,0,0,0.005,30.0,3sub,no,HFm1,trackm1,
41,HFp1d,HF,1,3.5,4.0,0,0,0.005,30.0,3sub,no,HFm1,trackm1,
42,HFp1e,HF,1,4.0,4.5,0,0,0.005,30.0,3sub,no,HFm1,trackm1,
43,HFp1f,HF,1,4.5,5.0,0,0,0.005,30.0,3sub,no,HFm1,trackm1,
44,HFm2,HF,2,3,5,0,0,0.005,30.0,3sub,no,HFp2,trackmid2,
45,HFp2,HF,2,3,5,0,0,0.005,30.0,3sub,no,HFm2,trackmid2,
46,trackmid2,Tracker,2,-0.8,0.8,0,0,0.3,3.0,3sub,no,HFm2,HFp2,
47,trackm2,Tracker,2,-0.5,0.0,0,0,0.3,3.0,3sub,no,HFp2,HFm2,
48,trackp2,Tracker,2,0.0,0.5,0,0,0.3,3.0,3sub,no,HFp2,HFm2,
49,trackm222,Tracker,2,-2.40,-2.00,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
50,trackm218,Tracker,2,-2.00,-1.60,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
51,trackm214,Tracker,2,-1.60,-1.20,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
52,trackm210,Tracker,2,-1.20,-0.80,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
53,trackm206,Tracker,2,-0.80,-0.40,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
54,trackm202,Tracker,2,-0.40,0.00,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
55,trackp202,Tracker,2,0.00,0.40,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
56,trackp206,Tracker,2,0.40,0.80,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
57,trackp210,Tracker,2,0.80,1.20,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
58,trackp214,Tracker,2,1.20,1.60,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
59,trackp218,Tracker,2,1.60,2.00,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
60,trackp222,Tracker,2,2.00,2.40,0.00,0.00,0.30,3.00,3sub,no,HFm2,HFp2,
61,HFm2a,HF,2,-2.5,-2,0,0,0.005,30.0,3sub,no,HFp2,trackp2,
62,HFm2b,HF,2,-3.0,-2.5,0,0,0.005,30.0,3sub,no,HFp2,trackp2,
63,HFm2c,HF,2,-3.5,-3.0,0,0,0.005,30.0,3sub,no,HFp2,trackp2,
64,HFm2d,HF,2,-4.0,-3.5,0,0,0.005,30.0,3sub,no,HFp2,trackp2,
65,HFm2e,HF,2,-4.5,-4.0,0,0,0.005,30.0,3sub,no,HFp2,trackp2,
66,HFm2f,HF,2,-5.0,-4.5,0,0,0.005,30.0,3sub,no,HFp2,trackp2,
67,HFp2a,HF,2,2.0,2.5,0,0,0.005,30.0,3sub,no,HFm2,trackm2,
68,HFp2b,HF,2,2.5,3.0,0,0,0.005,30.0,3sub,no,HFm2,trackm2,
69,HFp2c,HF,2,3.0,3.5,0,0,0.005,30.0,3sub,no,HFm2,trackm2,
70,HFp2d,HF,2,3.5,4.0,0,0,0.005,30.0,3sub,no,HFm2,trackm2,
71,HFp2e,HF,2,4.0,4.5,0,0,0.005,30.0,3sub,no,HFm2,trackm2,
72,HFp2f,HF,2,4.5,5.0,0,0,0.005,30.0,3sub,no,HFm2,trackm2,
73,HFm3,HF,3,-5,-3,0,0,0.005,30.0,3sub,no,HFp3,trackmid3,
74,HFp3,HF,3,3,5,0,0,0.005,30.0,3sub,no,HFm3,trackmid3,
75,trackmid3,Tracker,3,-0.8,0.8,0,0,0.3,3.0,3sub,no,HFm3,HFp3,
76,trackm3,Tracker,3,-0.5,0.0,0,0,0.3,3.0,3sub,no,HFp3,HFm3,
77,trackp3,Tracker,3,0.0,0.5,0,0,0.3,3.0,3sub,no,HFp3,HFm3,
78,trackm322,Tracker,3,-2.40,-2.00,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
79,trackm318,Tracker,3,-2.00,-1.60,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
80,trackm314,Tracker,3,-1.60,-1.20,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
81,trackm310,Tracker,3,-1.20,-0.80,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
82,trackm306,Tracker,3,-0.80,-0.40,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
83,trackm302,Tracker,3,-0.40,0.00,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
84,trackp302,Tracker,3,0.00,0.40,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
85,trackp306,Tracker,3,0.40,0.80,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
86,trackp310,Tracker,3,0.80,1.20,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
87,trackp314,Tracker,3,1.20,1.60,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
88,trackp318,Tracker,3,1.60,2.00,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
89,trackp322,Tracker,3,2.00,2.40,0.00,0.00,0.30,3.00,3sub,no,HFm3,HFp3,
90,HFm3a,HF,3,-5.0,-2,0,0,0.005,30.0,3sub,no,HFp3,trackp3,
91,HFm3b,HF,3,-5.0,-2.5,0,0,0.005,30.0,3sub,no,HFp3,trackp3,
92,HFm3c,HF,3,-5.0,-3.0,0,0,0.005,30.0,3sub,no,HFp3,trackp3,
93,HFm3d,HF,3,-5.0,-3.5,0,0,0.005,30.0,3sub,no,HFp3,trackp3,
94,HFm3e,HF,3,-5.0,-4.0,0,0,0.005,30.0,3sub,no,HFp3,trackp3,
95,HFm3f,HF,3,-5.0,-4.5,0,0,0.005,30.0,3sub,no,HFp3,trackp3,
96,HFp3a,HF,3,2.0,5.0,0,0,0.005,30.0,3sub,no,HFm3,trackm3,
97,HFp3b,HF,3,2.5,5.0,0,0,0.005,30.0,3sub,no,HFm3,trackm3,
98,HFp3c,HF,3,3.0,5.0,0,0,0.005,30.0,3sub,no,HFm3,trackm3,
99,HFp3d,HF,3,3.5,5.0,0,0,0.005,30.0,3sub,no,HFm3,trackm3,
100,HFp3e,HF,3,4.0,5.0,0,0,0.005,30.0,3sub,no,HFm3,trackm3,
101,HFp3f,HF,3,4.5,5.0,0,0,0.005,30.0,3sub,no,HFm3,trackm3,
102,HFm4,HF,4,-5,-3,0,0,0.005,30.0,3sub,no,HFp4,trackmid4,
103,HFp4,HF,4,3,5,0,0,0.005,30.0,3sub,no,HFm4,trackmid4,
104,trackmid4,Tracker,4,-0.8,0.8,0,0,0.3,3.0,3sub,no,HFm4,HFp4,
105,trackm4,Tracker,4,-0.5,0.0,0,0,0.3,3.0,3sub,no,HFp4,HFm4,
106,trackp4,Tracker,4,0.0,0.5,0,0,0.3,3.0,3sub,no,HFp4,HFm4,
107,trackm422,Tracker,4,-2.40,-2.00,0.00,0.00,0.30,3.00,3sub,no,HFm4,HFp4,
108,trackm418,Tracker,4,-2.00,-1.60,0.00,0.00,0.30,3.00,3sub,no,HFm4,HFp4,
109,trackm414,Tracker,4,-1.60,-1.20,0.00,0.00,0.30,3.00,3sub,no,HFm4,HFp4,
110,trackm410,Tracker,4,-1.20,-0.80,0.00,0.00,0.30,3.00,3sub,no,HFm4,HFp4,
111,trackm406,Tracker,4,-0.80,-0.40,0.00,0.00,0.30,3.00,3sub,no,HFm4,HFp4,
112,trackm402,Tracker,4,-0.40,0.00,0.00,0.00,0.30,3.00,3sub,no,HFm4,HFp4,
